id,symbol,date,prediction
1,BTC,2024-05-07,0.9966666666666667
2,LTC,2024-05-07,0.9
52,XRP,2024-05-07,0.7666666666666667
74,DOGE,2024-05-07,0.965
109,DGB,2024-05-07,0.815
131,DASH,2024-05-07,0.5066666666666667
328,XMR,2024-05-07,0.9533333333333334
512,XLM,2024-05-07,0.2816666666666667
541,SYS,2024-05-07,0.9333333333333333
873,XEM,2024-05-07,0.5066666666666667
1027,ETH,2024-05-07,0.9716666666666667
1042,SC,2024-05-07,0.285
1168,DCR,2024-05-07,0.9
1214,LSK,2024-05-07,0.165
1274,WAVES,2024-05-07,0.06333333333333334
1321,ETC,2024-05-07,0.33166666666666667
1376,NEO,2024-05-07,0.925
1437,ZEC,2024-05-07,0.5066666666666667
1455,GLM,2024-05-07,0.055
1518,MKR,2024-05-07,0.9883333333333333
1567,XNO,2024-05-07,0.33666666666666667
1586,ARK,2024-05-07,0.12833333333333333
1637,RLC,2024-05-07,0.8116666666666666
1659,GNO,2024-05-07,0.275
1680,ANT,2024-05-07,0.29833333333333334
1684,QTUM,2024-05-07,0.5066666666666667
1697,BAT,2024-05-07,0.5066666666666667
1720,IOTA,2024-05-07,0.5066666666666667
1732,NMR,2024-05-07,0.5066666666666667
1759,SNT,2024-05-07,0.5066666666666667
1765,EOS,2024-05-07,0.5066666666666667
1772,STORJ,2024-05-07,0.5066666666666667
1785,GAS,2024-05-07,0.695
1816,CVC,2024-05-07,0.9683333333333334
1831,BCH,2024-05-07,0.715
1839,BNB,2024-05-07,0.895
1896,ZRX,2024-05-07,0.5066666666666667
1934,LRC,2024-05-07,0.5066666666666667
1958,TRX,2024-05-07,0.21166666666666667
1966,MANA,2024-05-07,0.5066666666666667
1974,PRO,2024-05-07,0.23333333333333334
1975,LINK,2024-05-07,0.7283333333333334
2010,ADA,2024-05-07,0.3016666666666667
2011,XTZ,2024-05-07,0.5066666666666667
2083,BTG,2024-05-07,0.9183333333333333
2087,KCS,2024-05-07,0.14833333333333334
2099,ICX,2024-05-07,0.5066666666666667
2130,ENJ,2024-05-07,0.9116666666666666
2132,POWR,2024-05-07,0.265
2280,FIL,2024-05-07,0.195
2299,ELF,2024-05-07,0.9216666666666666
2300,WAXP,2024-05-07,0.5066666666666667
2394,TEL,2024-05-07,0.19833333333333333
2405,IOST,2024-05-07,0.015
2416,THETA,2024-05-07,0.09833333333333333
2424,AGIX,2024-05-07,0.5066666666666667
2467,TRAC,2024-05-07,0.058333333333333334
2469,ZIL,2024-05-07,0.5066666666666667
2499,BORG,2024-05-07,0.87
2505,BLZ,2024-05-07,0.9083333333333333
2545,ABT,2024-05-07,0.15166666666666667
2566,ONT,2024-05-07,0.22833333333333333
2577,RVN,2024-05-07,0.31333333333333335
2586,SNX,2024-05-07,0.105
2634,XDC,2024-05-07,0.9533333333333334
2682,HOT,2024-05-07,0.5066666666666667
2694,NEXO,2024-05-07,0.75
2777,IOTX,2024-05-07,0.6783333333333333
2930,IQ,2024-05-07,0.9283333333333333
2982,MVL,2024-05-07,0.89
3012,VTHO,2024-05-07,0.755
3029,FLUX,2024-05-07,0.7233333333333334
3077,VET,2024-05-07,0.8333333333333334
3155,QNT,2024-05-07,0.24833333333333332
3217,ONG,2024-05-07,0.125
3602,BSV,2024-05-07,0.8
3635,CRO,2024-05-07,0.8583333333333333
3640,LPT,2024-05-07,0.18833333333333332
3701,RIF,2024-05-07,0.9783333333333334
3773,FET,2024-05-07,0.11666666666666667
3794,ATOM,2024-05-07,0.23333333333333334
3801,BORA,2024-05-07,0.5066666666666667
3814,CELR,2024-05-07,0.7116666666666667
3822,TFUEL,2024-05-07,0.14166666666666666
3897,OKB,2024-05-07,0.9916666666666667
3911,OCEAN,2024-05-07,0.5066666666666667
3945,ONE,2024-05-07,0.5066666666666667
3957,LEO,2024-05-07,0.07833333333333334
3964,RSR,2024-05-07,0.09166666666666666
3978,CHR,2024-05-07,0.745
3987,BDX,2024-05-07,0.295
3992,COTI,2024-05-07,0.2683333333333333
4030,ALGO,2024-05-07,0.22166666666666668
4041,MX,2024-05-07,0.155
4066,CHZ,2024-05-07,0.6983333333333334
4092,DUSK,2024-05-07,0.18333333333333332
4120,PROM,2024-05-07,0.8183333333333334
4157,RUNE,2024-05-07,0.5066666666666667
4172,LUNC,2024-05-07,0.5066666666666667
4195,FTT,2024-05-07,0.7883333333333333
4256,KLAY,2024-05-07,0.5066666666666667
4269,GT,2024-05-07,0.6866666666666666
4558,FLOW,2024-05-07,0.04833333333333333
4642,HBAR,2024-05-07,0.6916666666666667
4679,BAND,2024-05-07,0.5066666666666667
4705,PAXG,2024-05-07,0.9383333333333334
4846,KAVA,2024-05-07,0.5066666666666667
4847,STX,2024-05-07,0.03833333333333333
4944,TRB,2024-05-07,0.043333333333333335
4948,CKB,2024-05-07,0.255
4950,LCX,2024-05-07,0.7616666666666667
5015,HEX,2024-05-07,0.5066666666666667
5034,KSM,2024-05-07,0.10833333333333334
5113,SURE,2024-05-07,0.5066666666666667
5198,CTC,2024-05-07,0.32
5370,HIVE,2024-05-07,0.9583333333333334
5426,SOL,2024-05-07,0.9966666666666667
5444,CTSI,2024-05-07,0.5066666666666667
5488,JST,2024-05-07,0.7766666666666666
5567,CELO,2024-05-07,0.5066666666666667
5617,UMA,2024-05-07,0.5066666666666667
5632,AR,2024-05-07,0.10166666666666667
5647,KDA,2024-05-07,0.5066666666666667
5665,HNT,2024-05-07,0.85
5690,RENDER,2024-05-07,0.5066666666666667
5691,SKL,2024-05-07,0.075
5692,COMP,2024-05-07,0.5066666666666667
5728,BAL,2024-05-07,0.7583333333333333
5805,AVAX,2024-05-07,0.8283333333333334
5824,SLP,2024-05-07,0.5066666666666667
5864,YFI,2024-05-07,0.7716666666666666
5899,CSPR,2024-05-07,0.7416666666666667
5964,TWT,2024-05-07,0.805
5994,SHIB,2024-05-07,0.7066666666666667
6535,NEAR,2024-05-07,0.245
6536,OM,2024-05-07,0.175
6538,CRV,2024-05-07,0.5066666666666667
6636,DOT,2024-05-07,0.855
6719,GRT,2024-05-07,0.985
6748,CFG,2024-05-07,0.7933333333333333
6758,SUSHI,2024-05-07,0.008333333333333333
6783,AXS,2024-05-07,0.5066666666666667
6836,GLMR,2024-05-07,0.5066666666666667
6841,PHA,2024-05-07,0.32
6892,EGLD,2024-05-07,0.08833333333333333
6945,AMP,2024-05-07,0.6866666666666666
6953,FRAX,2024-05-07,0.5066666666666667
6958,ACH,2024-05-07,0.885
7080,GALA,2024-05-07,0.26166666666666666
7083,UNI,2024-05-07,0.6816666666666666
7127,VELO,2024-05-07,0.19166666666666668
7129,USTC,2024-05-07,0.5066666666666667
7186,CAKE,2024-05-07,0.5066666666666667
7226,INJ,2024-05-07,0.8783333333333333
7278,AAVE,2024-05-07,0.9416666666666667
7288,XVS,2024-05-07,0.87
7326,DEXE,2024-05-07,0.7383333333333333
7334,CFX,2024-05-07,0.28833333333333333
7431,AKT,2024-05-07,0.17833333333333334
7455,AUDIO,2024-05-07,0.5066666666666667
7497,POND,2024-05-07,0.915
7501,WOO,2024-05-07,0.32666666666666666
7533,ORAI,2024-05-07,0.7016666666666667
7548,WEMIX,2024-05-07,0.30833333333333335
7653,ROSE,2024-05-07,0.33666666666666667
7737,API3,2024-05-07,0.5066666666666667
7950,FLR,2024-05-07,0.305
8037,VANRY,2024-05-07,0.7333333333333333
8104,1INCH,2024-05-07,0.11666666666666667
8119,SFP,2024-05-07,0.7333333333333333
8290,SUPER,2024-05-07,0.2916666666666667
8425,JASMY,2024-05-07,0.205
8526,RAY,2024-05-07,0.145
8536,MASK,2024-05-07,0.17
8646,MINA,2024-05-07,0.8416666666666667
8719,ILV,2024-05-07,0.8333333333333334
8916,ICP,2024-05-07,0.975
8972,SFUND,2024-05-07,0.25833333333333336
9025,TRIBE,2024-05-07,0.5066666666666667
9040,PUNDIX,2024-05-07,0.31333333333333335
9104,AIOZ,2024-05-07,0.7183333333333334
9258,XCH,2024-05-07,0.75
9260,ZIG,2024-05-07,0.225
9263,ZCX,2024-05-07,0.8233333333333334
9481,PENDLE,2024-05-07,0.5066666666666667
9543,BICO,2024-05-07,0.03166666666666667
9640,METIS,2024-05-07,0.5066666666666667
9674,WILD,2024-05-07,0.21833333333333332
9816,NFT,2024-05-07,0.07166666666666667
9903,CVX,2024-05-07,0.7816666666666666
10180,GOMINING,2024-05-07,0.5066666666666667
10407,BabyDoge,2024-05-07,0.18333333333333332
10442,DESO,2024-05-07,0.785
10529,SUN,2024-05-07,0.89
