id,pred_10d,pred_30d,release_date
BANANA,0.6153846153846153,0.4714003944773175,2025-06-05
ME,0.044378698224852076,0.2613412228796844,2025-06-05
HMSTR,0.05325443786982248,0.1755424063116371,2025-06-05
CAKE,0.9329388560157791,0.9664694280078896,2025-06-05
BRETT,0.6666666666666666,0.6824457593688362,2025-06-05
ENA,0.46942800788954636,0.15187376725838264,2025-06-05
PEOPLE,0.7869822485207102,0.3254437869822485,2025-06-05
SOPH,0.5779092702169626,0.8145956607495068,2025-06-05
CFX,0.6015779092702169,0.5818540433925049,2025-06-05
GRASS,0.9960552268244576,0.8086785009861933,2025-06-05
WIF,0.2859960552268244,0.15384615384615383,2025-06-05
MKR,0.5483234714003945,0.20315581854043394,2025-06-05
SUSHI,0.13412228796844183,0.5404339250493096,2025-06-05
HBAR,0.32544378698224846,0.2465483234714004,2025-06-05
OGN,0.8915187376725838,0.47928994082840237,2025-06-05
ZEN,0.04339250493096647,0.19132149901380668,2025-06-05
GMX,0.8047337278106509,0.9447731755424064,2025-06-05
ENS,0.9566074950690334,0.9625246548323472,2025-06-05
DYM,0.4595660749506903,0.4950690335305719,2025-06-05
NOT,0.41814595660749504,0.28994082840236685,2025-06-05
SUPER,0.5976331360946746,0.23471400394477315,2025-06-05
XAI,0.04930966469428008,0.07889546351084813,2025-06-05
HYPE,0.021696252465483234,0.6173570019723865,2025-06-05
ANIME,0.47534516765285995,0.5877712031558185,2025-06-05
POLYX,0.7948717948717948,0.7810650887573964,2025-06-05
TURBO,0.8579881656804734,0.4773175542406312,2025-06-05
MOVE,0.6074950690335306,0.07297830374753451,2025-06-05
FET,0.5936883629191322,0.5147928994082841,2025-06-05
GMT,0.6824457593688362,0.7495069033530571,2025-06-05
WLD,0.14990138067061143,0.08481262327416172,2025-06-05
BLUR,0.8422090729783037,0.7712031558185405,2025-06-05
PNUT,0.33727810650887574,0.641025641025641,2025-06-05
W,0.22287968441814596,0.4161735700197238,2025-06-05
MORPHO,0.2702169625246548,0.08481262327416172,2025-06-05
ONDO,0.6903353057199211,0.78698224852071,2025-06-05
kNEIRO,0.08284023668639053,0.7140039447731755,2025-06-05
SUI,0.36686390532544383,0.2859960552268244,2025-06-05
PYTH,0.42011834319526625,0.16962524654832348,2025-06-05
FTT,0.68836291913215,0.2781065088757396,2025-06-05
JUP,0.9211045364891519,0.757396449704142,2025-06-05
UMA,0.388560157790927,0.6469428007889545,2025-06-05
ATOM,0.21893491124260356,0.3944773175542406,2025-06-05
TON,0.700197238658777,0.8599605522682445,2025-06-05
IMX,0.8915187376725838,0.3826429980276134,2025-06-05
ZETA,0.4773175542406312,0.27613412228796846,2025-06-05
CELO,0.30769230769230765,0.4437869822485207,2025-06-05
ZEREBRO,0.15581854043392504,0.19132149901380668,2025-06-05
kLUNC,0.42998027613412226,0.6646942800788954,2025-06-05
ARB,0.7100591715976331,0.8619329388560159,2025-06-05
MERL,0.011834319526627219,0.9783037475345168,2025-06-05
OM,0.601577909270217,0.005917159763313609,2025-06-05
ZK,0.4122287968441814,0.19723865877712032,2025-06-05
DOOD,0.2978303747534517,0.83629191321499,2025-06-05
MEW,0.8205128205128206,0.8126232741617357,2025-06-05
TRB,0.5838264299802761,0.41814595660749504,2025-06-05
GALA,0.2859960552268244,0.46548323471400394,2025-06-05
BNB,0.8658777120315581,0.5562130177514794,2025-06-05
LAUNCHCOIN,0.52465483234714,0.09072978303747535,2025-06-05
STG,0.719921104536489,0.8560157790927021,2025-06-05
XLM,0.5404339250493096,0.6114398422090729,2025-06-05
NXPC,0.7593688362919132,0.2840236686390532,2025-06-05
USUAL,0.2564102564102564,0.023668639053254437,2025-06-05
SOL,0.7396449704142012,0.35700197238658776,2025-06-05
kSHIB,0.8599605522682445,0.3510848126232742,2025-06-05
YGG,0.23076923076923075,0.4575936883629191,2025-06-05
SNX,0.4477317554240631,0.37080867850098614,2025-06-05
BSV,0.4457593688362919,0.5502958579881657,2025-06-05
VIRTUAL,0.005917159763313609,0.7297830374753452,2025-06-05
DOT,0.044378698224852076,0.2613412228796844,2025-06-05
ETC,0.393491124260355,0.6932938856015779,2025-06-05
TRX,0.8757396449704142,0.923076923076923,2025-06-05
INJ,0.46745562130177515,0.6607495069033531,2025-06-05
APT,0.9881656804733728,1.0,2025-06-05
KAITO,0.8678500986193294,0.9092702169625246,2025-06-05
ARK,0.40631163708086787,0.34516765285996054,2025-06-05
ADA,0.3806706114398422,0.5601577909270217,2025-06-05
OMNI,0.43589743589743585,0.5996055226824457,2025-06-05
INIT,0.7041420118343195,0.6706114398422091,2025-06-05
GAS,0.7416173570019723,0.3806706114398422,2025-06-05
AAVE,0.16962524654832348,0.3431952662721893,2025-06-05
MEME,0.3431952662721894,0.7278106508875739,2025-06-05
COMP,0.9743589743589743,0.9644970414201183,2025-06-05
SEI,0.5581854043392506,0.3313609467455621,2025-06-05
VVV,0.14595660749506903,0.757396449704142,2025-06-05
MNT,0.3293885601577909,0.34516765285996054,2025-06-05
CRV,0.6429980276134121,0.727810650887574,2025-06-05
BIO,0.16568047337278105,0.11242603550295859,2025-06-05
REQ,0.717948717948718,0.8224852071005917,2025-06-05
ZRO,0.8086785009861933,0.47928994082840237,2025-06-05
ACE,0.7652859960552268,0.7218934911242604,2025-06-05
PENDLE,0.9013806706114398,0.4358974358974359,2025-06-05
TRUMP,0.1932938856015779,0.32347140039447736,2025-06-05
MANTA,0.7475345167652859,0.8205128205128206,2025-06-05
USTC,0.9053254437869822,0.8461538461538461,2025-06-05
IOTA,0.3333333333333333,0.6094674556213018,2025-06-05
MINA,0.24852071005917156,0.23274161735700194,2025-06-05
RSR,0.16173570019723862,0.1321499013806706,2025-06-05
FIL,0.668639053254438,0.8027613412228796,2025-06-05
ZORA,0.5956607495069033,0.05325443786982248,2025-06-05
kDOGS,0.3313609467455621,0.6232741617357002,2025-06-05
BCH,0.8757396449704142,0.8974358974358974,2025-06-05
ALGO,0.23668639053254437,0.5285996055226825,2025-06-05
DYDX,0.6074950690335305,0.6725838264299803,2025-06-05
CHILLGUY,0.9743589743589743,0.9842209072978303,2025-06-05
MAV,0.3806706114398422,0.48520710059171596,2025-06-05
NIL,0.6548323471400394,0.6469428007889547,2025-06-05
UNI,0.3865877712031558,0.611439842209073,2025-06-05
TAO,0.28007889546351084,0.27613412228796846,2025-06-05
MELANIA,0.9467455621301775,0.8994082840236687,2025-06-05
MOODENG,0.5009861932938856,0.16370808678500984,2025-06-05
LDO,0.8895463510848126,0.7928994082840237,2025-06-05
SAGA,0.09861932938856016,0.32347140039447736,2025-06-05
STRK,0.5305719921104536,0.5029585798816568,2025-06-05
LTC,0.37080867850098614,0.5581854043392505,2025-06-05
RENDER,0.5897435897435898,0.6686390532544378,2025-06-05
AI16Z,0.21104536489151873,0.22287968441814596,2025-06-05
ETHFI,0.5226824457593688,0.7889546351084812,2025-06-05
VINE,0.10256410256410257,0.05917159763313609,2025-06-05
LINK,0.5897435897435896,0.5147928994082841,2025-06-05
TIA,0.1183431952662722,0.1301775147928994,2025-06-05
PAXG,0.7278106508875739,0.7337278106508874,2025-06-05
SCR,0.29191321499013806,0.42603550295857984,2025-06-05
NEAR,0.40631163708086787,0.6765285996055227,2025-06-05
ORDI,0.7337278106508874,0.8717948717948717,2025-06-05
SAND,0.48520710059171596,0.3648915187376726,2025-06-05
kBONK,0.24260355029585798,0.047337278106508875,2025-06-05
BERA,0.17159763313609466,0.017751479289940825,2025-06-05
SPX,0.8619329388560159,0.9132149901380671,2025-06-05
AVAX,0.252465483234714,0.4714003944773176,2025-06-05
IP,0.03254437869822485,0.5552268244575936,2025-06-05
OP,0.8757396449704142,0.834319526627219,2025-06-05
KAS,0.3274161735700197,0.35502958579881655,2025-06-05
BABY,0.8323471400394477,0.8796844181459565,2025-06-05
REZ,0.7830374753451675,0.14003944773175542,2025-06-05
BTC,0.6193293885601577,0.6193293885601577,2025-06-05
RUNE,0.3905325443786982,0.2682445759368836,2025-06-05
HYPER,0.5128205128205128,0.7396449704142012,2025-06-05
DOGE,0.29585798816568043,0.28402366863905326,2025-06-05
POL,0.8796844181459567,0.8362919132149901,2025-06-05
BIGTIME,0.6844181459566075,0.5719921104536488,2025-06-05
NEIROETH,0.46942800788954636,0.9566074950690334,2025-06-05
BOME,0.8027613412228797,0.7021696252465484,2025-06-05
XRP,0.7909270216962524,0.5838264299802761,2025-06-05
AIXBT,0.7534516765285996,0.6844181459566075,2025-06-05
PROMPT,0.923076923076923,0.42011834319526625,2025-06-05
kFLOKI,0.30769230769230765,0.48323471400394474,2025-06-05
kPEPE,0.2859960552268244,0.10059171597633136,2025-06-05
PENGU,0.09467455621301775,0.09861932938856015,2025-06-05
WCT,0.07692307692307691,0.5936883629191322,2025-06-05
EIGEN,0.393491124260355,0.6932938856015779,2025-06-05
