id,pred_10d,pred_30d,release_date
ATOM,0.21893491124260356,0.3944773175542406,2025-06-05
REQ,0.717948717948718,0.8224852071005917,2025-06-05
CRV,0.6429980276134121,0.727810650887574,2025-06-05
MAVIA,0.10848126232741617,0.15187376725838264,2025-06-05
SAGA,0.09861932938856016,0.32347140039447736,2025-06-05
NEAR,0.40631163708086787,0.6765285996055227,2025-06-05
MORPHO,0.2702169625246548,0.08481262327416172,2025-06-05
MANTA,0.7475345167652859,0.8205128205128206,2025-06-05
MOVE,0.6074950690335306,0.07297830374753451,2025-06-05
XAI,0.04930966469428008,0.07889546351084813,2025-06-05
ETC,0.393491124260355,0.6932938856015779,2025-06-05
DOGE,0.29585798816568043,0.28402366863905326,2025-06-05
SOPH,0.5779092702169626,0.8145956607495068,2025-06-05
CELO,0.30769230769230765,0.4437869822485207,2025-06-05
MAV,0.3806706114398422,0.48520710059171596,2025-06-05
POPCAT,0.7633136094674556,0.252465483234714,2025-06-05
SCR,0.29191321499013806,0.42603550295857984,2025-06-05
COMP,0.9743589743589743,0.9644970414201183,2025-06-05
GMT,0.6824457593688362,0.7495069033530571,2025-06-05
SOL,0.7396449704142012,0.35700197238658776,2025-06-05
IMX,0.8915187376725838,0.3826429980276134,2025-06-05
JUP,0.9211045364891519,0.757396449704142,2025-06-05
RUNE,0.3905325443786982,0.2682445759368836,2025-06-05
LAUNCHCOIN,0.52465483234714,0.09072978303747535,2025-06-05
UMA,0.388560157790927,0.6469428007889545,2025-06-05
TRB,0.5838264299802761,0.41814595660749504,2025-06-05
USTC,0.9053254437869822,0.8461538461538461,2025-06-05
AIXBT,0.7534516765285996,0.6844181459566075,2025-06-05
IOTA,0.3333333333333333,0.6094674556213018,2025-06-05
VIRTUAL,0.005917159763313609,0.7297830374753452,2025-06-05
ALGO,0.23668639053254437,0.5285996055226825,2025-06-05
GMX,0.8047337278106509,0.9447731755424064,2025-06-05
ANIME,0.47534516765285995,0.5877712031558185,2025-06-05
BCH,0.8757396449704142,0.8974358974358974,2025-06-05
BIO,0.16568047337278105,0.11242603550295859,2025-06-05
BSV,0.4457593688362919,0.5502958579881657,2025-06-05
NXPC,0.7593688362919132,0.2840236686390532,2025-06-05
MOODENG,0.5009861932938856,0.16370808678500984,2025-06-05
TNSR,0.14003944773175542,0.2702169625246548,2025-06-05
